order,source_types,link_texts,input_url,final_url,title,screenshot_file,status,error
1,inline,atherosclerosis,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/atherosclerosis,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/atherosclerosis,What is Atherosclerosis? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/01__heart-org-en-health-topics-cholesterol-about-cholesterol-atherosclerosis.png,ok,
2,inline,heart attack,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,What is a Heart Attack? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/02__heart-org-en-health-topics-heart-attack-about-heart-attacks.png,ok,
3,sidebar,High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure,High Blood Pressure  | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/03__heart-org-en-health-topics-high-blood-pressure.png,ok,
4,inline|sidebar,How to Manage High Blood Pressure | Make lifestyle changes to lower your blood pressure. | Healthy lifestyle choices,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure,How to Manage High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/04__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure.png,ok,
5,sidebar,Getting Active,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure,Getting Active to Control High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/05__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-getting-active-to-cont.png,ok,
6,sidebar,Potassium Benefits,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure,How Potassium Can Help Prevent or Treat High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/06__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-how-potassium-can-help.png,ok,
7,sidebar,Limiting or Avoiding Alcohol,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/limiting-alcohol-to-manage-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/limiting-alcohol-to-manage-high-blood-pressure,Limiting or Avoiding Alcohol to Manage High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/07__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-limiting-alcohol-to-ma.png,ok,
8,sidebar,Healthy Diet,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-blood-pressure-with-a-heart-healthy-diet,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-blood-pressure-with-a-heart-healthy-diet,Managing Blood Pressure with a Heart-Healthy Diet | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/08__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-blood-pressur.png,ok,
9,sidebar,Managing Medications,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-high-blood-pressure-medications,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-high-blood-pressure-medications,Managing High Blood Pressure Medications | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/09__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-high-blood-pr.png,ok,
10,sidebar,Managing Stress,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure,Managing Stress to Control High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/10__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-stress-to-con.png,ok,
