include,exclude_reason,source_types,texts,url
no,non-html-or-non-page-resource,inline,See how atherosclerosis takes place,http://watchlearnlive.heart.org/CVML_Player.php?moduleSelect=athero
no,non-html-or-non-page-resource,inline,See how high blood pressure can damage your arteries and heart,http://watchlearnlive.heart.org/CVML_Player.php?moduleSelect=highbp
no,non-html-or-non-page-resource,inline,See how your heart can become enlarged,http://watchlearnlive.heart.org/CVML_Player.php?moduleSelect=hrtflr
no,non-html-or-non-page-resource,inline,,https://www.facebook.com/sharer/sharer.php?u=https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure
no,non-html-or-non-page-resource,inline,Spanish (PDF),https://www.heart.org/-/media/Files/Health-Topics/Answers-by-Heart/Answers-by-Heart-SPANISH/What-Is-HighBloodPressure_Span.pdf
no,non-html-or-non-page-resource,inline,English (PDF),https://www.heart.org/-/media/Files/Health-Topics/Answers-by-Heart/What-Is-High-Blood-Pressure.pdf
no,non-html-or-non-page-resource,inline,See an infographic of the consequences of high blood pressure. (PDF),https://www.heart.org/-/media/Files/Health-Topics/High-Blood-Pressure/Consequences-of-High-Blood-Pressure-infographic.pdf
yes,,inline,atherosclerosis,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/atherosclerosis
yes,,inline,heart attack,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks
yes,,sidebar,High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure
yes,,inline|sidebar,How to Manage High Blood Pressure | Make lifestyle changes to lower your blood pressure. | Healthy lifestyle choices,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure
yes,,sidebar,Getting Active,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure
yes,,sidebar,Potassium Benefits,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure
yes,,sidebar,Limiting or Avoiding Alcohol,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/limiting-alcohol-to-manage-high-blood-pressure
