brand,slug,homepage_url,category,selection_basis
American Cancer Society,american_cancer_society,https://www.cancer.org/,disease_nonprofit,Large national disease nonprofit with broad education advocacy and fundraising overlap
American Red Cross,american_red_cross,https://www.redcross.org/,mission_nonprofit,National trust and donation competitor with strong public-service positioning
St. Jude Children's Research Hospital,st_jude,https://www.stjude.org/,disease_nonprofit,Top-tier health fundraising brand with strong emotional storytelling and donor conversion
Mayo Clinic,mayo_clinic,https://www.mayoclinic.org/,health_system,Major authority competitor for consumer health guidance and trust
Cleveland Clinic,cleveland_clinic,https://my.clevelandclinic.org/,health_system,Major authority competitor for condition education and utility-led navigation
Alzheimer's Association,alzheimers_association,https://www.alz.org/,disease_nonprofit,Large national education support and advocacy nonprofit with strong condition-library overlap
Breakthrough T1D,breakthrough_t1d,https://www.breakthrought1d.org/,disease_nonprofit,Large national disease nonprofit with research credibility and modern campaign posture
American Diabetes Association,american_diabetes_association,https://diabetes.org/,disease_nonprofit,Large national condition nonprofit with education prevention and policy overlap
American Lung Association,american_lung_association,https://www.lung.org/,disease_nonprofit,Large national prevention and advocacy nonprofit with adjacent public-health framing
Susan G. Komen,susan_g_komen,https://www.komen.org/,disease_nonprofit,Large national disease nonprofit with donor familiarity and awareness-campaign scale
